PG.Pvalue,PG.ProteinLabel,PG.ProteinGroups,PG.Genes,[1] Hek293_control_invivo_1.raw.PG.Quantity,[2] Hek293_control_invivo_2.raw.PG.Quantity,[3] Hek293_control_invivo_3.raw.PG.Quantity,[4] Hek293_XO44_invivo_1.raw.PG.Quantity,[5] Hek293_XO44_invivo_2.raw.PG.Quantity,[6] Hek293_XO44_invivo_3.raw.PG.Quantity,[7] HeLa_control_invivo_1.raw.PG.Quantity,[8] HeLa_control_invivo_2.raw.PG.Quantity,[9] HeLa_control_invivo_3.raw.PG.Quantity,[10] HeLa_XO44_invivo_1.raw.PG.Quantity,[11] HeLa_XO44_invivo_2.raw.PG.Quantity,[12] HeLa_XO44_invivo_3.raw.PG.Quantity
2.514023626353967E-05,TMEDA_HUMAN,P49755,TMED10,364.2934265136719,353.8230895996094,407.67132568359375,7418.84375,5668.8251953125,6860.2587890625,529.78466796875,517.983154296875,592.3142700195312,8907.9423828125,8746.392578125,12872.8037109375
5.305293648046176E-07,RBM25_HUMAN,P49756,RBM25,228.45741271972656,132.959716796875,159.3442840576172,2428.71435546875,2231.304443359375,2758.934814453125,275.33709716796875,235.0074920654297,257.66668701171875,3707.494140625,3450.872802734375,4733.65625
4.398913675238568E-05,NUMB_HUMAN,P49757,NUMB,93.3037109375,58.366310119628906,48.99188232421875,925.9008178710938,724.2359619140625,856.1511840820312,42.45820617675781,56.974891662597656,75.5573501586914,928.4252319335938,960.6148681640625,1490.1617431640625
2.566153301094206E-06,CLK1_HUMAN,P49759,CLK1,16.468610763549805,49.598426818847656,102.00308227539062,3409.07080078125,2973.682373046875,3211.461669921875,91.18008422851562,58.37687301635742,35.14775848388672,3441.56103515625,3147.753173828125,4417.31787109375
1.4406348244131862E-05,CLK2_HUMAN,P49760,CLK2,46.16373825073242,51.19514465332031,37.89418029785156,9907.2783203125,8164.8876953125,8235.5361328125,157.05430603027344,64.03768920898438,48.878631591796875,2576.695556640625,2541.5615234375,3653.0654296875
3.670880196880463E-06,CLK3_HUMAN,P49761,CLK3,48.695411682128906,48.35223388671875,26.486562728881836,13745.1376953125,11442.634765625,12846.2548828125,160.10574340820312,41.73861312866211,66.48956298828125,4074.7744140625,3673.56689453125,5644.09912109375
0.0017266519002682786,PSN1_HUMAN,P49768,PSEN1,254.92156982421875,191.03662109375,270.04583740234375,1648.5157470703125,1691.392822265625,1328.9158935546875,340.4752502441406,231.79640197753906,163.15174865722656,909.3671875,2082.34716796875,2542.540771484375
1.843047672008725E-05,EI2BB_HUMAN,P49770,EIF2B2,50.14836502075195,34.68415832519531,65.11644744873047,2149.03955078125,1626.191162109375,2361.6787109375,68.25865936279297,56.821285247802734,53.97957229614258,1574.735595703125,1773.319580078125,2321.089111328125
0.0008485478064412312,HINT1_HUMAN,P49773,HINT1,177.4063262939453,100.23212432861328,170.4268341064453,2388.923828125,1411.384521484375,2008.3062744140625,169.47332763671875,147.7342987060547,151.69200134277344,1780.157470703125,1577.4947509765625,2823.005615234375
0.00375117084199313,FHIT_HUMAN,P49789,FHIT,253.38833618164062,148.26806640625,128.33413696289062,6999.5087890625,7470.39697265625,7659.6474609375,140.90762329101562,130.8931121826172,175.85018920898438,458.1268615722656,501.0003967285156,439.2032165527344
5.8682142167718466E-05,NU153_HUMAN,P49790,NUP153,385.0627136230469,370.5790710449219,378.4389953613281,6022.41650390625,5173.16796875,5340.740234375,571.9614868164062,415.0772399902344,610.4786987304688,7653.87158203125,7207.58935546875,9663.6533203125
1.9613076301887662E-07,RBP2_HUMAN,P49792,RANBP2,355.10064697265625,336.6678466796875,321.1502990722656,6486.4033203125,5728.44677734375,6434.14990234375,596.0880737304688,433.1882019042969,552.1039428710938,8014.35693359375,8280.02734375,10738.4384765625
